iter	Passed	Remaining
0	56	56936
1	57	28634
2	57	19207
3	58	14486
4	58	11654
5	58	9768
6	59	8423
7	59	7410
8	60	6624
9	60	5993
10	60	5479
11	61	5053
12	61	4689
13	62	4382
14	62	4111
15	62	3873
16	63	3668
17	63	3481
18	64	3314
19	64	3164
20	64	3026
21	65	2901
22	65	2787
23	66	2684
24	66	2589
25	66	2500
26	67	2421
27	67	2346
28	67	2276
29	68	2210
30	68	2148
31	69	2091
32	69	2035
33	69	1983
34	70	1935
35	70	1890
36	70	1846
37	71	1807
38	71	1768
39	72	1731
40	72	1696
41	72	1663
42	73	1631
43	73	1600
44	74	1572
45	74	1545
46	74	1518
47	75	1492
48	75	1467
49	76	1444
50	76	1421
51	76	1399
52	77	1379
53	77	1359
54	77	1339
55	78	1320
56	78	1301
57	79	1284
58	79	1267
59	79	1251
60	80	1235
61	80	1220
62	81	1205
63	81	1190
64	81	1176
65	82	1163
66	82	1152
67	83	1139
68	83	1126
69	83	1114
70	84	1102
71	84	1090
72	85	1079
73	85	1068
74	85	1058
75	86	1047
76	86	1037
77	86	1027
78	87	1017
79	87	1007
80	87	998
81	88	988
82	88	977
83	88	969
84	89	961
85	89	953
86	90	945
87	90	937
88	90	929
89	91	922
90	91	914
91	91	907
92	92	900
93	92	893
94	93	886
95	93	880
96	93	873
97	94	866
98	94	860
99	94	853
100	95	847
101	95	841
102	96	836
103	96	830
104	97	830
105	97	825
106	98	819
107	98	814
108	99	809
109	99	804
110	99	799
111	100	794
112	100	788
113	100	784
114	101	779
115	101	774
116	101	769
117	102	764
118	102	760
119	103	755
120	103	750
121	103	745
122	103	741
123	104	737
124	104	733
125	105	729
126	105	725
127	105	721
128	106	717
129	106	714
130	107	711
131	107	707
132	107	703
133	108	700
134	108	696
135	109	692
136	109	689
137	109	686
138	110	683
139	110	680
140	111	677
141	111	672
142	111	669
143	112	666
144	112	663
145	112	660
146	113	657
147	113	654
148	114	651
149	114	648
150	114	645
151	115	642
152	115	639
153	115	636
154	116	634
155	116	631
156	117	628
157	117	625
158	117	623
159	118	621
160	118	617
161	118	614
162	119	612
163	119	610
164	120	607
165	120	605
166	120	602
167	121	600
168	121	597
169	121	595
170	122	592
171	122	590
172	123	588
173	123	586
174	123	583
175	124	581
176	124	579
177	124	576
178	125	574
179	125	572
180	126	570
181	126	568
182	126	566
183	127	564
184	127	562
185	128	560
186	128	558
187	128	556
188	129	554
189	129	552
190	130	551
191	130	549
192	130	547
193	131	545
194	131	543
195	131	541
196	132	539
197	132	537
198	133	535
199	133	533
200	133	531
201	134	529
202	134	527
203	134	526
204	135	524
205	135	522
206	135	520
207	136	518
208	136	517
209	136	515
210	137	513
211	137	511
212	138	510
213	138	508
214	138	506
215	139	505
216	139	503
217	139	502
218	140	500
219	140	498
220	141	497
221	141	495
222	141	494
223	142	492
224	142	490
225	142	489
226	143	488
227	143	486
228	144	485
229	144	483
230	144	482
231	145	480
232	145	479
233	145	477
234	146	476
235	146	474
236	146	473
237	147	471
238	147	470
239	148	468
240	148	467
241	148	465
242	149	464
243	149	463
244	150	462
245	150	461
246	150	460
247	151	458
248	151	457
249	151	455
250	152	454
251	152	453
252	153	452
253	153	450
254	153	449
255	154	448
256	154	447
257	154	445
258	155	444
259	155	443
260	156	441
261	156	440
262	156	439
263	157	438
264	157	436
265	157	435
266	158	434
267	158	433
268	159	432
269	159	431
270	159	430
271	160	429
272	160	428
273	161	426
274	161	425
275	161	424
276	162	423
277	162	422
278	163	421
279	163	420
280	163	419
281	164	418
282	164	416
283	164	415
284	165	414
285	165	413
286	165	412
287	166	411
288	166	410
289	167	409
290	167	407
291	167	406
292	168	405
293	168	404
294	168	403
295	169	402
296	169	401
297	170	400
298	170	399
299	170	398
300	171	397
301	171	396
302	171	395
303	172	394
304	172	393
305	173	392
306	173	391
307	174	391
308	174	390
309	174	389
310	175	388
311	175	386
312	175	385
313	176	384
314	176	384
315	176	382
316	177	381
317	177	380
318	177	379
319	178	379
320	178	378
321	179	377
322	179	376
323	179	375
324	180	374
325	180	373
326	180	372
327	181	371
328	181	370
329	181	369
330	182	368
331	182	367
332	183	366
333	183	365
334	183	364
335	184	363
336	184	362
337	184	362
338	185	361
339	185	360
340	185	359
341	186	358
342	186	357
343	187	356
344	187	355
345	187	355
346	188	354
347	188	353
348	189	352
349	189	352
350	189	351
351	190	350
352	190	349
353	190	348
354	191	347
355	191	346
356	192	345
357	192	345
358	192	344
359	193	343
360	193	342
361	194	341
362	194	341
363	194	340
364	195	339
365	195	338
366	195	337
367	196	337
368	196	336
369	196	335
370	197	334
371	197	333
372	198	332
373	198	332
374	198	331
375	199	330
376	199	329
377	199	328
378	200	328
379	200	327
380	201	326
381	201	325
382	201	324
383	202	324
384	202	323
385	202	322
386	203	321
387	203	321
388	204	320
389	204	319
390	204	319
391	205	318
392	205	317
393	205	316
394	206	315
395	206	315
396	206	314
397	207	313
398	207	312
399	207	311
400	208	311
401	208	310
402	208	309
403	209	308
404	209	308
405	210	307
406	210	306
407	210	305
408	211	305
409	211	304
410	211	303
411	212	302
412	212	302
413	212	301
414	213	300
415	213	299
416	214	299
417	214	298
418	214	297
419	215	297
420	215	296
421	215	295
422	216	295
423	216	294
424	216	293
425	217	292
426	217	292
427	218	291
428	218	290
429	218	290
430	219	289
431	219	288
432	219	287
433	220	287
434	220	286
435	221	285
436	221	285
437	221	284
438	222	283
439	222	283
440	222	282
441	223	281
442	223	281
443	224	280
444	224	279
445	224	279
446	225	278
447	225	277
448	225	277
449	226	276
450	226	275
451	226	275
452	227	274
453	227	273
454	227	273
455	228	272
456	228	271
457	229	271
458	229	270
459	229	269
460	230	269
461	230	268
462	230	267
463	231	267
464	231	266
465	231	265
466	232	265
467	232	264
468	233	263
469	233	263
470	233	262
471	234	261
472	234	261
473	234	260
474	235	259
475	235	259
476	235	258
477	236	258
478	236	257
479	237	256
480	237	256
481	237	255
482	238	254
483	238	254
484	238	253
485	239	253
486	239	252
487	240	251
488	240	251
489	240	250
490	241	249
491	241	249
492	241	248
493	242	248
494	242	247
495	242	246
496	243	246
497	243	245
498	244	245
499	244	244
500	244	243
501	245	243
502	245	242
503	245	241
504	246	241
505	246	240
506	246	240
507	247	239
508	247	238
509	247	238
510	248	237
511	248	237
512	249	236
513	249	235
514	249	235
515	250	234
516	250	234
517	250	233
518	251	232
519	251	232
520	252	231
521	252	231
522	252	230
523	253	229
524	253	229
525	253	228
526	254	228
527	254	227
528	255	227
529	255	226
530	255	225
531	256	225
532	256	224
533	256	224
534	257	223
535	257	222
536	257	222
537	258	221
538	258	221
539	258	220
540	259	219
541	259	219
542	259	218
543	260	218
544	260	217
545	261	217
546	261	216
547	261	215
548	262	215
549	262	214
550	262	214
551	263	213
552	263	212
553	263	212
554	264	211
555	264	211
556	264	210
557	265	210
558	265	209
559	266	209
560	266	208
561	266	207
562	267	207
563	267	206
564	267	206
565	268	205
566	268	205
567	268	204
568	269	204
569	269	203
570	270	202
571	270	202
572	270	201
573	271	201
574	271	200
575	272	200
576	272	199
577	272	199
578	273	198
579	273	198
580	273	197
581	274	196
582	274	196
583	274	195
584	275	195
585	275	194
586	276	194
587	276	194
588	277	193
589	277	192
590	277	192
591	278	191
592	278	191
593	279	190
594	279	190
595	279	189
596	280	189
597	280	188
598	280	188
599	281	187
600	281	186
601	282	186
602	282	185
603	282	185
604	283	184
605	283	184
606	283	183
607	284	183
608	284	182
609	284	182
610	285	181
611	285	181
612	286	180
613	286	180
614	286	179
615	287	179
616	287	178
617	287	177
618	288	177
619	288	176
620	288	176
621	289	175
622	289	175
623	290	174
624	290	174
625	290	173
626	291	173
627	291	172
628	291	172
629	292	171
630	292	171
631	292	170
632	293	170
633	293	169
634	294	169
635	294	168
636	294	168
637	295	167
638	295	167
639	295	166
640	296	165
641	296	165
642	297	164
643	297	164
644	297	163
645	298	163
646	298	162
647	298	162
648	299	161
649	299	161
650	300	160
651	300	160
652	300	159
653	301	159
654	301	158
655	301	158
656	302	157
657	302	157
658	303	156
659	303	156
660	303	155
